id,title,description,bank,provider,category,is_active,created_at,updated_at
326,Boga,20% dto. Lunes a viernes,bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.851265,2025-06-14T00:15:33.851266
327,Preu Filadd,20% dto. todos los días,bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.851272,2025-06-14T00:15:33.851274
328,La Pesca De Los Mekis,30% dto. lunes a miércoles,bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.851281,2025-06-14T00:15:33.851282
329,MY FAMILY PETS,Hasta 15% dto. todos los días,bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.851289,2025-06-14T00:15:33.851291
330,Preuniversitario Pedro de Valdivia,20% dto.,bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.851297,2025-06-14T00:15:33.851299
331,SANASALUD,Hasta 65% dcto. Todos los lunes y martes,bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.851305,2025-06-14T00:15:33.851306
332,Padel Mundo Sport,20% dto. Todos los días,bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.851314,2025-06-14T00:15:33.851315
333,Clínica CRL,Hasta 50% dcto.,bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.851322,2025-06-14T00:15:33.851323
334,Mantraa Unisex Salon & Spa,20% dcto. Lunes y Martes en todos los servicios,bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.851330,2025-06-14T00:15:33.851331
335,Varvacoa,Hasta 20% dcto. todos los días,bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.851338,2025-06-14T00:15:33.851339
336,CLINICA ESTÉTICA MI MANTRA,20% dto todos los días,bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.851346,2025-06-14T00:15:33.851348
337,Bar Medanoso,20% dto. Lunes a viernes,bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.851355,2025-06-14T00:15:33.851356
338,Restaurant Urbano 136,20% dto. sábado a lunes,bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.851363,2025-06-14T00:15:33.851364
339,DHouse,"20% dcto. miércoles, jueves y viernes en compra presencial",bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.851371,2025-06-14T00:15:33.851372
340,Caprese,20% dto. Lunes a viernes,bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.851379,2025-06-14T00:15:33.851380
341,Ambar Deco,20% dto. En compras presenciales de lunes a sábado,bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.851386,2025-06-14T00:15:33.851388
342,Mandala Food & Bar,20% dto. lunes a sábado de 17:00 a 22:00 Hrs,bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.851395,2025-06-14T00:15:33.851396
343,MARDELI,20% dto martes,bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.851403,2025-06-14T00:15:33.851404
344,La Casona del Ají,20% dto. lunes a jueves,bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.851411,2025-06-14T00:15:33.851412
345,Brookman,20% dto. de lunes a miércoles,bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.851419,2025-06-14T00:15:33.851420
346,Ceiba,20% dto. todos los jueves,bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.851427,2025-06-14T00:15:33.851428
347,Club de San Miguel,20% dto. lunes a miércoles,bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.851434,2025-06-14T00:15:33.851436
348,Funsport,"20% dcto. miércoles, jueves y viernes en compra presencial",bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.851442,2025-06-14T00:15:33.851444
349,ICA RESTAURANTE,20% dto. sábado y domingo,bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.851451,2025-06-14T00:15:33.851452
350,Taproom Tübinger,20% dto. los Jueves,bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.851459,2025-06-14T00:15:33.851460
351,QB Restaurant Bar,30% dto los sábados y domingo y 20% dto. lunes a viernes.,bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.851467,2025-06-14T00:15:33.851468
352,PF CHANGS,20% dto. de lunes a viernes,bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.851476,2025-06-14T00:15:33.851477
353,Pisco Bou Legado,Hasta 15% dto. Todos los días,bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.851483,2025-06-14T00:15:33.851485
354,Clínicas Odontologicas Everest,Hasta 64% dcto. Todos los días,bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.851491,2025-06-14T00:15:33.851492
355,Oasi di Bellezza,40% de descuento en depilación Láser Soprano Ice,bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.851499,2025-06-14T00:15:33.851500
